"","Frog_NF50|AER","Frog_NF50|BasalEctoderm","Frog_NF51|AER","Frog_NF51|BasalEctoderm","Frog_NF52|AER","Frog_NF52|BasalEctoderm","Frog_NF54|AER","Frog_NF54|BasalEctoderm","Axolotl_ST50|AER","Axolotl_ST50|BasalEctoderm","Axolotl_ST52|AER","Axolotl_ST52|BasalEctoderm","Axolotl_ST54|AER","Axolotl_ST54|BasalEctoderm","Mouse_E105|AER","Mouse_E105|BasalEctoderm","Mouse_E115|AER","Mouse_E115|BasalEctoderm","Mouse_E125|AER","Mouse_E125|BasalEctoderm","Mouse_E95|AER","Mouse_E95|BasalEctoderm","Human_CS13|AER","Human_CS13|BasalEctoderm","Chicken_E45|AER","Chicken_E45|BasalEctoderm"
"Axolotl_ST52|AER",0.99696520310923,0.00303479689077049,0.996074768129552,0.00392523187044776,0.997712839568754,0.00228716043124618,0.995604570010491,0.00439542998950864,0.995066720784915,0.00493327921508506,0.996612598527783,0.00338740147221669,0.996924744438445,0.00307525556155476,0.993843242723446,0.00615675727655405,0.996746449181116,0.00325355081888405,0.996575984042374,0.00342401595762598,0.991678066575467,0.0083219334245326,0.991188962465359,0.00881103753464124,0.995376036663111,0.00462396333688937
"Axolotl_ST52|BasalEctoderm",0.00303479689077057,0.996965203109229,0.00392523187044788,0.996074768129552,0.00228716043124615,0.997712839568754,0.0043954299895086,0.995604570010491,0.00493327921508491,0.995066720784915,0.00338740147221669,0.996612598527783,0.00307525556155473,0.996924744438445,0.00615675727655398,0.993843242723446,0.0032535508188842,0.996746449181116,0.00342401595762592,0.996575984042374,0.00832193342453264,0.991678066575467,0.00881103753464114,0.991188962465359,0.00462396333688928,0.995376036663111
"Axolotl_ST54|AER",0.998676569052863,0.00132343094713653,0.997899925678547,0.00210007432145298,0.999145094198466,0.000854905801533952,0.997988240681804,0.00201175931819626,0.997502507516943,0.00249749248305718,0.996924744438445,0.00307525556155473,0.998674543664319,0.0013254563356813,0.995877513923088,0.004122486076912,0.998220101492085,0.00177989850791487,0.998264585811303,0.00173541418869676,0.993842993999375,0.00615700600062442,0.992901556997454,0.00709844300254649,0.997137367102124,0.00286263289787632
"Axolotl_ST54|BasalEctoderm",0.00132343094713642,0.998676569052864,0.00210007432145289,0.997899925678547,0.000854905801534068,0.999145094198466,0.00201175931819631,0.997988240681804,0.00249749248305739,0.997502507516943,0.00307525556155476,0.996924744438445,0.0013254563356813,0.998674543664319,0.00412248607691195,0.995877513923088,0.00177989850791486,0.998220101492085,0.00173541418869665,0.998264585811303,0.00615700600062434,0.993842993999376,0.00709844300254633,0.992901556997453,0.00286263289787639,0.997137367102124
"Mouse_E105|AER",0.998330066489873,0.00166993351012717,0.997776475357907,0.00222352464209278,0.99887973090018,0.00112026909981986,0.998724101855606,0.00127589814439386,0.998409508325475,0.00159049167452527,0.993843242723446,0.00615675727655398,0.995877513923088,0.00412248607691195,0.999501133786848,0.0004988662131519,0.999270857768395,0.000729142231605274,0.998789158296548,0.00121084170345256,0.995329687430528,0.00467031256947222,0.993603370282123,0.00639662971787702,0.998265977658075,0.00173402234192502
"Mouse_E105|BasalEctoderm",0.00166993351012723,0.998330066489873,0.00222352464209281,0.997776475357907,0.00112026909981983,0.99887973090018,0.00127589814439386,0.998724101855606,0.00159049167452525,0.998409508325475,0.00615675727655405,0.993843242723446,0.004122486076912,0.995877513923088,0.0004988662131519,0.999501133786848,0.000729142231605304,0.999270857768395,0.00121084170345256,0.998789158296547,0.00467031256947227,0.995329687430528,0.00639662971787702,0.993603370282123,0.0017340223419251,0.998265977658075
"Mouse_E115|AER",0.998809693368873,0.00119030663112705,0.998168412154229,0.00183158784577091,0.999656341642229,0.00034365835777117,0.999079949276912,0.000920050723087923,0.999732746969055,0.000267253030944915,0.996746449181116,0.0032535508188842,0.998220101492085,0.00177989850791486,0.999270857768395,0.000729142231605304,0.999507389162562,0.000492610837438397,0.999311464397671,0.00068853560232872,0.995600040782597,0.00439995921740343,0.9941546507055,0.00584534929450037,0.998492671741021,0.00150732825897899
"Mouse_E115|BasalEctoderm",0.00119030663112703,0.998809693368873,0.00183158784577091,0.998168412154229,0.000343658357771261,0.999656341642229,0.000920050723087909,0.999079949276912,0.000267253030944675,0.999732746969055,0.00325355081888405,0.996746449181116,0.00177989850791487,0.998220101492085,0.000729142231605274,0.999270857768395,0.000492610837438397,0.999507389162561,0.000688535602328666,0.999311464397671,0.00439995921740343,0.995600040782597,0.00584534929450039,0.9941546507055,0.00150732825897904,0.998492671741021
"Mouse_E125|AER",0.998656898602382,0.0013431013976176,0.997934102166835,0.00206589783316471,0.999210590230126,0.000789409769874169,0.998983758791934,0.00101624120806581,0.999391278093104,0.000608721906896549,0.996575984042374,0.00342401595762592,0.998264585811303,0.00173541418869665,0.998789158296548,0.00121084170345256,0.999311464397671,0.000688535602328666,0.99910434393193,0.000895656068069875,0.9956161748251,0.00438382517490024,0.99387885001398,0.00612114998601958,0.998472311531739,0.00152768846826079
"Mouse_E125|BasalEctoderm",0.00134310139761766,0.998656898602382,0.00206589783316466,0.997934102166835,0.000789409769874186,0.999210590230126,0.00101624120806577,0.998983758791934,0.000608721906896292,0.999391278093104,0.00342401595762598,0.996575984042374,0.00173541418869676,0.998264585811303,0.00121084170345256,0.998789158296547,0.00068853560232872,0.999311464397671,0.000895656068069875,0.99910434393193,0.0043838251749002,0.9956161748251,0.0061211499860196,0.99387885001398,0.00152768846826069,0.998472311531739
"Mouse_E95|AER",0.996110276647237,0.00388972335276278,0.995621312418603,0.00437868758139719,0.996788883642536,0.00321111635746368,0.995666341478574,0.00433365852142634,0.994749912396971,0.00525008760302901,0.991678066575467,0.00832193342453264,0.993842993999375,0.00615700600062434,0.995329687430528,0.00467031256947227,0.995600040782597,0.00439995921740343,0.9956161748251,0.0043838251749002,0.993011563599799,0.00698843640020109,0.991193039953864,0.0088069600461359,0.995099706426365,0.00490029357363534
"Mouse_E95|BasalEctoderm",0.00388972335276281,0.996110276647237,0.0043786875813971,0.995621312418603,0.00321111635746362,0.996788883642536,0.00433365852142634,0.995666341478574,0.00525008760302877,0.994749912396971,0.0083219334245326,0.991678066575467,0.00615700600062442,0.993842993999376,0.00467031256947222,0.995329687430528,0.00439995921740343,0.995600040782597,0.00438382517490024,0.9956161748251,0.00698843640020109,0.993011563599799,0.0088069600461359,0.991193039953864,0.00490029357363526,0.995099706426365
"Human_CS13|AER",0.994211952416454,0.00578804758354583,0.993681324621344,0.00631867537865581,0.994626346256903,0.00537365374309651,0.994079928157314,0.00592007184268588,0.993266542355823,0.00673345764417723,0.991188962465359,0.00881103753464114,0.992901556997454,0.00709844300254633,0.993603370282123,0.00639662971787702,0.9941546507055,0.00584534929450039,0.99387885001398,0.0061211499860196,0.991193039953864,0.0088069600461359,0.989109367789571,0.0108906322104291,0.99353427203087,0.00646572796913
"Human_CS13|BasalEctoderm",0.00578804758354579,0.994211952416454,0.00631867537865575,0.993681324621344,0.00537365374309658,0.994626346256903,0.0059200718426859,0.994079928157314,0.00673345764417728,0.993266542355823,0.00881103753464124,0.991188962465359,0.00709844300254649,0.992901556997453,0.00639662971787702,0.993603370282123,0.00584534929450037,0.9941546507055,0.00612114998601958,0.99387885001398,0.0088069600461359,0.991193039953864,0.0108906322104291,0.989109367789571,0.00646572796913007,0.99353427203087
"Chicken_E45|AER",0.998495625772458,0.00150437422754216,0.998059405657697,0.00194059434230268,0.998862964461154,0.00113703553884585,0.997581278615518,0.00241872138448154,0.997575995698649,0.00242400430135096,0.995376036663111,0.00462396333688928,0.997137367102124,0.00286263289787639,0.998265977658075,0.0017340223419251,0.998492671741021,0.00150732825897904,0.998472311531739,0.00152768846826069,0.995099706426365,0.00490029357363526,0.99353427203087,0.00646572796913007,0.998619896492237,0.00138010350776302
"Chicken_E45|BasalEctoderm",0.00150437422754214,0.998495625772458,0.00194059434230266,0.998059405657698,0.00113703553884577,0.998862964461154,0.00241872138448151,0.997581278615518,0.00242400430135102,0.997575995698649,0.00462396333688937,0.995376036663111,0.00286263289787632,0.997137367102124,0.00173402234192502,0.998265977658075,0.00150732825897899,0.998492671741021,0.00152768846826079,0.998472311531739,0.00490029357363534,0.995099706426365,0.00646572796913,0.99353427203087,0.00138010350776302,0.998619896492237
