"","Frog_NF50|AER","Frog_NF50|BasalEctoderm","Frog_NF51|AER","Frog_NF51|BasalEctoderm","Frog_NF52|AER","Frog_NF52|BasalEctoderm","Frog_NF54|AER","Frog_NF54|BasalEctoderm","Axolotl_ST50|AER","Axolotl_ST50|BasalEctoderm","Axolotl_ST52|AER","Axolotl_ST52|BasalEctoderm","Axolotl_ST54|AER","Axolotl_ST54|BasalEctoderm","Mouse_E105|AER","Mouse_E105|BasalEctoderm","Mouse_E115|AER","Mouse_E115|BasalEctoderm","Mouse_E125|AER","Mouse_E125|BasalEctoderm","Mouse_E95|AER","Mouse_E95|BasalEctoderm","Human_CS13|AER","Human_CS13|BasalEctoderm","Chicken_E45|AER","Chicken_E45|BasalEctoderm"
"Axolotl_ST52|AER",0.925531111143709,0.0744688888562915,0.936028740738682,0.0639712592613178,0.934005685579149,0.0659943144208512,0.8735207141364,0.1264792858636,0.988488028159711,0.0115119718402893,0.997003452543808,0.00299654745619172,0.979292855889892,0.0207071441101077,0.914463056540446,0.0855369434595544,0.943033448343251,0.0569665516567493,0.924782983106489,0.0752170168935111,0.811662621717341,0.188337378282659,0.811432314632853,0.188567685367146,0.848423860764868,0.151576139235132
"Axolotl_ST52|BasalEctoderm",0.0744688888562914,0.925531111143709,0.0639712592613179,0.936028740738682,0.0659943144208511,0.934005685579149,0.1264792858636,0.8735207141364,0.0115119718402891,0.988488028159711,0.00299654745619172,0.997003452543808,0.0207071441101079,0.979292855889892,0.0855369434595545,0.914463056540446,0.0569665516567493,0.943033448343251,0.075217016893511,0.924782983106489,0.188337378282659,0.811662621717341,0.188567685367146,0.811432314632853,0.151576139235131,0.848423860764869
"Axolotl_ST54|AER",0.893486015019967,0.106513984980033,0.922906886567477,0.0770931134325232,0.928440818985421,0.0715591810145789,0.821953218539034,0.178046781460966,0.980010362814405,0.0199896371855955,0.979292855889892,0.0207071441101079,0.999507687646747,0.000492312353252963,0.877553802707177,0.122446197292823,0.911360662545346,0.0886393374546537,0.895568247577979,0.104431752422021,0.745648373484293,0.254351626515707,0.763200728980887,0.236799271019113,0.812613187525079,0.187386812474921
"Axolotl_ST54|BasalEctoderm",0.106513984980033,0.893486015019967,0.0770931134325231,0.922906886567477,0.0715591810145787,0.928440818985421,0.178046781460966,0.821953218539033,0.0199896371855953,0.980010362814405,0.0207071441101077,0.979292855889892,0.000492312353252963,0.999507687646747,0.122446197292823,0.877553802707177,0.0886393374546538,0.911360662545347,0.104431752422021,0.895568247577979,0.254351626515707,0.745648373484293,0.236799271019113,0.763200728980887,0.187386812474921,0.812613187525079
"Mouse_E105|AER",0.93673349565815,0.0632665043418497,0.950517487728979,0.0494825122710209,0.936176401523464,0.0638235984765364,0.893375981739274,0.106624018260726,0.872104711348409,0.127895288651591,0.914463056540446,0.0855369434595545,0.877553802707177,0.122446197292823,0.999274376417233,0.000725623582766421,0.990319806083353,0.00968019391664711,0.99069854064928,0.00930145935072038,0.953319550042239,0.0466804499577609,0.96295934586725,0.0370406541327499,0.946278910260673,0.0537210897393269
"Mouse_E105|BasalEctoderm",0.0632665043418498,0.93673349565815,0.0494825122710209,0.950517487728979,0.0638235984765363,0.936176401523464,0.106624018260726,0.893375981739274,0.127895288651591,0.872104711348409,0.0855369434595544,0.914463056540446,0.122446197292823,0.877553802707177,0.000725623582766421,0.999274376417233,0.0096801939166471,0.990319806083353,0.00930145935072044,0.99069854064928,0.0466804499577609,0.953319550042239,0.0370406541327498,0.96295934586725,0.0537210897393268,0.946278910260673
"Mouse_E115|AER",0.909969414416848,0.090030585583152,0.92452304568744,0.07547695431256,0.947704836181616,0.052295163818384,0.903194494285497,0.0968055057145032,0.881365085219041,0.118634914780959,0.943033448343251,0.0569665516567493,0.911360662545346,0.0886393374546538,0.990319806083353,0.0096801939166471,0.995689655172414,0.0043103448275862,0.985742274966413,0.0142577250335871,0.900425936658188,0.0995740633418118,0.935438096677813,0.0645619033221869,0.90400968650235,0.0959903134976503
"Mouse_E115|BasalEctoderm",0.0900305855831521,0.909969414416848,0.07547695431256,0.92452304568744,0.0522951638183841,0.947704836181616,0.0968055057145032,0.903194494285497,0.118634914780959,0.881365085219041,0.0569665516567493,0.943033448343251,0.0886393374546537,0.911360662545347,0.00968019391664711,0.990319806083353,0.0043103448275862,0.995689655172414,0.0142577250335871,0.985742274966413,0.0995740633418118,0.900425936658188,0.0645619033221869,0.935438096677813,0.0959903134976503,0.90400968650235
"Mouse_E125|AER",0.887540819420058,0.112459180579941,0.916948027025485,0.0830519729745151,0.933405059553906,0.0665949404460945,0.888542148944067,0.111457851055933,0.867741183765524,0.132258816234476,0.924782983106489,0.075217016893511,0.895568247577979,0.104431752422021,0.99069854064928,0.00930145935072044,0.985742274966413,0.0142577250335871,0.997760859829825,0.00223914017017461,0.89809563886643,0.10190436113357,0.93233810940795,0.0676618905920499,0.877545196767501,0.1224548032325
"Mouse_E125|BasalEctoderm",0.112459180579941,0.887540819420058,0.0830519729745151,0.916948027025485,0.0665949404460946,0.933405059553906,0.111457851055933,0.888542148944067,0.132258816234475,0.867741183765524,0.0752170168935111,0.924782983106489,0.104431752422021,0.895568247577979,0.00930145935072038,0.99069854064928,0.0142577250335871,0.985742274966413,0.00223914017017461,0.997760859829825,0.10190436113357,0.89809563886643,0.0676618905920499,0.93233810940795,0.122454803232499,0.8775451967675
"Mouse_E95|AER",0.851277892005708,0.148722107994291,0.866482410722302,0.133517589277698,0.83348879031398,0.16651120968602,0.766212513193425,0.233787486806575,0.747759647759648,0.252240352240352,0.811662621717341,0.188337378282659,0.745648373484293,0.254351626515707,0.953319550042239,0.0466804499577609,0.900425936658188,0.0995740633418118,0.89809563886643,0.10190436113357,0.959108429696665,0.040891570303335,0.917427361022464,0.082572638977536,0.813662025364153,0.186337974635847
"Mouse_E95|BasalEctoderm",0.148722107994291,0.851277892005708,0.133517589277698,0.866482410722302,0.16651120968602,0.83348879031398,0.233787486806575,0.766212513193425,0.252240352240352,0.747759647759648,0.188337378282659,0.811662621717341,0.254351626515707,0.745648373484293,0.0466804499577609,0.953319550042239,0.0995740633418118,0.900425936658188,0.10190436113357,0.89809563886643,0.040891570303335,0.959108429696665,0.082572638977536,0.917427361022464,0.186337974635847,0.813662025364153
"Human_CS13|AER",0.819239900758001,0.180760099241999,0.820240171569759,0.179759828430241,0.860584088179982,0.139415911820018,0.803365384778637,0.196634615221363,0.712337398840833,0.287662601159167,0.811432314632853,0.188567685367146,0.763200728980887,0.236799271019113,0.96295934586725,0.0370406541327498,0.935438096677813,0.0645619033221869,0.93233810940795,0.0676618905920499,0.917427361022464,0.082572638977536,0.991878172588832,0.00812182741116751,0.792222331611035,0.207777668388965
"Human_CS13|BasalEctoderm",0.180760099241999,0.819239900758,0.179759828430241,0.820240171569759,0.139415911820018,0.860584088179982,0.196634615221363,0.803365384778637,0.287662601159167,0.712337398840833,0.188567685367146,0.811432314632853,0.236799271019113,0.763200728980887,0.0370406541327499,0.96295934586725,0.0645619033221869,0.935438096677813,0.0676618905920499,0.93233810940795,0.082572638977536,0.917427361022464,0.00812182741116751,0.991878172588832,0.207777668388966,0.792222331611035
"Chicken_E45|AER",0.864352418095141,0.135647581904859,0.906748985721198,0.0932510142788019,0.867348316565458,0.132651683434542,0.856703004258309,0.143296995741691,0.820607904087253,0.179392095912747,0.848423860764868,0.151576139235131,0.812613187525079,0.187386812474921,0.946278910260673,0.0537210897393268,0.90400968650235,0.0959903134976503,0.877545196767501,0.122454803232499,0.813662025364153,0.186337974635847,0.792222331611035,0.207777668388966,0.987349051178838,0.0126509488211616
"Chicken_E45|BasalEctoderm",0.135647581904859,0.864352418095141,0.0932510142788019,0.906748985721198,0.132651683434542,0.867348316565458,0.143296995741691,0.856703004258309,0.179392095912747,0.820607904087253,0.151576139235132,0.848423860764869,0.187386812474921,0.812613187525079,0.0537210897393269,0.946278910260673,0.0959903134976503,0.90400968650235,0.1224548032325,0.8775451967675,0.186337974635847,0.813662025364153,0.207777668388965,0.792222331611035,0.0126509488211616,0.987349051178839
